Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
1,TATA Steel,8.33,,2,,,,,,,,,,,2,2016,0.039016393
2,Delloiite,6.2,,,3,,,9,3,5,,,,,20,2016,0.290398126
3,Maruti Suzuki,6.4,,3,,5,,,,,,,,,8,2016,0.119906323
4,Wipro,3.25,,18,22,2,13,22,19,25,15,,,13,149,2016,1.134074941
5,Infosys,3.25,,15,2,25,4,6,2,4,5,,,3,66,2016,0.50234192
6,Accenture,3.4,,13,7,20,9,12,6,14,11,,2,,94,2016,0.748477752
7,Hyundai,6.4,,,,2,,,,,,,,,2,2016,0.029976581
8,Tech Mahindra,3.25,,7,5,4,,3,3,6,5,,,,33,2016,0.25117096
9,Capgimini,3.3,,,,,2,1,,1,,,,,4,2016,0.030913349
10,HINDALCO,4.8,,3,2,2,,,,,,,,,7,2016,0.078688525
11,PRADAN,5.04,,1,2,2,4,,,2,4,,,1,16,2016,0.188852459
12,SAPLAB,9,,,,,,2,,,,,,,2,2016,0.042154567
13,TCS,3.3,,,1,3,,1,3,4,,,,,12,2016,0.092740047
14,AptusDataLab,4.5,,,,,,,1,,,,,,1,2016,0.010538642
15,Mind firesolution,4.54,,,,,,,,1,,,,,1,2016,0.010632319
16,Freshworks,7.83,,,,,,1,,,,,,,1,2016,0.018337237
17,"OPTCL ,BBSR",7,,1,,,,,,,,,,,1,2016,0.016393443
18,NALCO,6.06,,,1,,,,,,,,,,1,2016,0.014192037
19,TES Electronics Solutions,50,,,1,,,,,,,,,,1,2016,0.117096019
20,"INDIAN RAILWAY,PARADIP",5.28,,,,,,,,,,,,1,1,2016,0.01236534
21,TEACHER IN NIST,3.6,,,,,,,,,,,,1,1,2016,0.008430913
22,KDM ENGINEERS INDIA PVT LTD,4.8,,,,,,,,,,,,1,1,2016,0.011241218
23,NHIDCL,5.4,,,,,,,,,,,,1,1,2016,0.01264637
24,SKILL DEV AND TECHNICAL EDUCATION DEPT.(OPSC),4.25,,,,,,,,,,,,1,1,2016,0.009953162
25,HJD institute of Technical education and research,4.8,,,,,,,,,,,,1,1,2016,0.011241218
