Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
1,GYANSYS,4.5,,,,,,,,2,,,,,2,2019,0.017077799
2,L&T (TS),4.5,2,,1,9,,,,2,1,,,,15,2019,0.128083491
3,Deloitte,6.2,,,5,,,12,4,10,,,,,31,2019,0.364705882
4,TATA STEEL,10.2,,1,,,,,,,,,,,1,2019,0.019354839
5,INFOSYS,3.6,3,30,14,17,12,20,12,32,12,3,2,4,161,2019,1.099810247
6,ACCENTURE,3.5,,,15,,,10,11,32,,,5,,73,2019,0.484819734
7,MARUTI SUZUKI,6.4,,1,,3,,,,,,,,,4,2019,0.04857685
8,VEDANTA,7.95,5,1,3,5,,,,,2,2,,,18,2019,0.271537002
9,ARETEANS,6,,,,,,1,,1,,,,,2,2019,0.022770398
10,TCS,3.36,8,19,4,12,10,4,4,19,8,,1,1,90,2019,0.573814042
11,L&T ECC,6.27,,3,,1,4,,,,,,,4,12,2019,0.142770398
12,ADANI PORT,4.4,,,,4,,,,,,,,,4,2019,0.033396584
13,INFOGAIN,3.3,,,,,,1,,,,,,,1,2019,0.00626186
14,JARO EDUCATION,5.64,,,1,,,,,,,,,,1,2019,0.010702087
15,TEGA,3.3,,,,2,,,,,2,,,,4,2019,0.025047438
16,TATA STEEL BSL,4.8,2,2,,1,,,,,,,,,5,2019,0.045540797
17,WIPRO,3.4,,3,,1,1,1,,2,1,,,,9,2019,0.058064516
18,ADITYA BIRLA GROUP,6,,10,,6,,,,,,,,,16,2019,0.182163188
19,TATA SPONGE,6.35,,1,,1,,,,,,,,,2,2019,0.024098672
20,COGNIZANT,3.38,2,3,2,,,,2,2,1,4,,1,17,2019,0.109032258
21,SMALL DAY IT,4.8,,,,,1,,1,,,1,,,3,2019,0.027324478
22,TRL,4.65,,,,2,,1,,,,,,,3,2019,0.026470588
23,PERFECT VIPS,2,,,,,,,,,,,,2,2,2019,0.007590133
24,HCL DRIVE,3.5,,1,,,,,,1,,,,,2,2019,0.013282732
25,PRADAN,6.84,1,1,,1,1,,,1,,2,,,7,2019,0.09085389
26,JK PAPERS,4.1,,,,,,,,,,5,,,5,2019,0.038899431
27,Brillio,4.5,,,,,,,1,,,,,,1,2019,0.008538899
28,JSW CEMENT,5.35,,,,,,,,,,5,,,5,2019,0.050759013
29,JSPL,5.5,5,1,,3,,,,,,5,,,14,2019,0.146110057
30,AFCONS,3.9,,,,,2,,,,,,,,2,2019,0.014800759
31,INNOCULE,1.8,,,,,,,,,,1,,,1,2019,0.00341556
32,BYJUS,10,,,,1,1,,,,,,,,2,2019,0.037950664
33,CAPGEMINI,3.8,,2,1,,,,,2,,,,,5,2019,0.036053131
34,FRESHWORKS,5,,,,,,,1,,,,,,1,2019,0.009487666
35,TREEBO,2.92,,,,,,,,1,,,,,1,2019,0.005540797
36,IBM,4,,,,,,,,1,,,,,1,2019,0.007590133
37,SHYAM METALLICS,3.6,1,1,,1,,,,,,,,,3,2019,0.020493359
