Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
1,INFOSYS SE,3.6,,,1,,,3,,2,,,,,6,2022,0.025087108
2,INFOSYS DSE,6.25,,,1,,,5,1,2,,,,,9,2022,0.06533101
3,INFOSYS PP,8,,,,,,1,1,,,,,,2,2022,0.018583043
4,TATASTEEL BSL,5,5,2,,,,,,,,,,,7,2022,0.040650407
5,DELOITTE,7.6,,4,4,5,1,14,6,3,,1,1,,39,2022,0.344250871
6,DCM SHRIRAM,5.5,,2,,,,,,,,,,,2,2022,0.012775842
7,ACCOLITE DIGITAL,8,,,,,,5,,,,,,,5,2022,0.046457607
8,GENC ELEVATE ,4,,5,5,2,1,6,9,13,1,,3,1,46,2022,0.213704994
9,GENC ,4,17,24,10,17,15,12,5,34,14,10,8,13,179,2022,0.831591173
10,GENC NEXT,6.7,,1,,1,,5,2,1,,,,,10,2022,0.077816492
11,INCTURE,7,,2,2,,,4,3,1,,,,,12,2022,0.097560976
12,Deepak Fertilizers,3.25,,3,,,,,,,,,,,3,2022,0.011324042
13,IBM,4.5,,4,1,,,4,5,10,3,,1,,28,2022,0.146341463
14,KREETI,6.6,,2,,,,,,1,,,1,,4,2022,0.030662021
15,WIPRO,3.5,7,11,5,4,5,5,8,21,4,2,,5,77,2022,0.31300813
16,Amazon internship,9.6,,,,,,2,,,,,,,2,2022,0.022299652
17,Tata Electronics,5.25,,,,5,,,,,1,,,,6,2022,0.036585366
18,"Marquee 
semiconductor",3.6,,3,,,,,,1,,,,1,5,2022,0.020905923
19,SIMFORM,4,,,,,,,,1,,,,,1,2022,0.004645761
20,Cognizant GenC Pro(cyber security),5.4,,,,,,4,,,,,,,4,2022,0.025087108
21,INFOSYS,3.6,4,8,2,3,8,3,1,8,3,5,5,14,64,2022,0.267595819
22,L&T,6.27,,2,2,6,5,,,1,,,,6,22,2022,0.160209059
23,ISERVEU,6,1,7,2,,4,3,,10,5,2,13,3,50,2022,0.348432056
24,LATENT VIEW,6.5,,,1,,,1,1,,,,,,3,2022,0.022648084
25,LTTS,4.5,,4,3,5,,2,,4,,,,,18,2022,0.094076655
26,CISCO,15,,,,,,4,,,,,,,4,2022,0.069686411
27,BYJUS,6,,1,2,2,,,,,1,1,,5,12,2022,0.083623693
28,Quest Global,3,,,,,,,,1,,,,,1,2022,0.003484321
29,ASICZEN TECH,3.6,,,,,,,,,,,,2,2,2022,0.008362369
30,PWC,6,,,,,,5,1,2,,,,,8,2022,0.055749129
31,ZENSAR,4,,1,1,,,,,,,,,,2,2022,0.009291521
32,WINDMOLLER,4,,1,,,,,,,,,,,1,2022,0.004645761
33,Aditya Birla Group,6.6,5,3,2,6,1,,,,,,,,17,2022,0.130313589
34,VEDANTA,9.45,9,,,13,,,,,,,,,22,2022,0.241463415
35,PERFECTVIPS,3.6,,,,,,,,4,,,,5,9,2022,0.037630662
36,SMS India,4,,,,3,,,,,,,,,3,2022,0.013937282
37,Credit suisse,13.59,,,,,,1,5,,,,,,6,2022,0.094703833
38,MountBlue tech,4,,,,,,,1,,,,,,1,2022,0.004645761
39,Bank of New york,17.34,,,,,,1,,1,,,,,2,2022,0.040278746
40,Mindtree,4,,,1,2,,,,,1,2,3,5,14,2022,0.06504065
41,PRODAPT,5.5,,,,,,,1,,,,,,1,2022,0.006387921
42,BYJUS CONTENT,6,,,,,1,,,,,,,,1,2022,0.006968641
43,ARCELOR MITTAL,4,,4,,4,,,,,,,,,8,2022,0.037166086
44,MARUTI SUZUKI,9.35,,,,1,,,,,,,,,1,2022,0.010859466
45,HANSA SOLUTIONS,5.5,,,,,,1,2,,,,,,3,2022,0.019163763
46,Cognizant Cybersecurity,5.4,,,,,,1,,,,,,,1,2022,0.006271777
47,NCOMPASS,5,,,,,,1,,,,,,,1,2022,0.005807201
48,FRONTROW,4,,,,,3,,,2,,1,,1,7,2022,0.032520325
49,HASHEDIN,8.1,,,,,,2,,1,,,,,3,2022,0.028222997
50,TATA POWER,6,,8,1,,,,,,,,,,9,2022,0.06271777
51,JSW,8,2,3,,1,,,,,,2,,,8,2022,0.074332172
52,XORIANT,5.5,,,,,,,,,1,,,,1,2022,0.006387921
53,Principal Global Services,8,,1,,,,,,2,,,,,3,2022,0.027874564
54,Adani Group,6,,4,,,,,,,,,,,4,2022,0.027874564
55,INNOCULE,3.5,1,,,,,,,,,3,,2,6,2022,0.024390244
56,PRADAN ,7.2,,1,,,1,,,,,6,,,8,2022,0.066898955
57,A1 FENCE PRODUCTS ,5,,1,,,,,,,,,1,,1,2022,0.005807201
58,SHYAM METALLICS,3.6,,1,,1,,,,,,,,,2,2022,0.008362369
59,SLM METAL,2.31,,,,1,,,,,,,,,1,2022,0.002682927
60,Subudhi Tech Engg.,2.4,,,,,1,,,,,,,2,3,2022,0.008362369
61,JK PAPER,4.5,,1,,,,,,,,,1,,2,2022,0.010452962
62,JSPL,10,2,1,1,2,2,,,,,,,,8,2022,0.092915215
63,TATA ELXSI,3.5,,2,,,,,,,,,,,2,2022,0.008130081
64,SKOLAR,4.5,,2,,2,1,3,1,,,,1,4,14,2022,0.073170732
65,Happiest minds,5.4,,,,,,,,,,,,2,2,2022,0.012543554
66,AirLiquid,5.5,,,,1,,,,,,2,,,3,2022,0.019163763
67,NO BROKER,4.8,1,,,,1,,,,,,,,2,2022,0.011149826
68,AQUAGREEN,4.22,,,,2,1,,,,,,,,3,2022,0.014703833
69,Visudh Ajivam,4,,,,,1,,,,,,,,1,2022,0.004645761
70,Thought plan,4.8,,,,,,,1,,,,,,1,2022,0.005574913
71,Tejas Network,10,,,,,,,,,1,,,,1,2022,0.011614402
72,TCS,3.36,,,1,,,1,,1,1,,2,5,11,2022,0.042926829
73,Solysitics Partners,9.2,,,,,,1,,,,,,,1,2022,0.01068525
74,Red Hat,10,,,,,,1,,,,,,,1,2022,0.011614402
75,Neo soft tech,3.6,,,,,,,,,,,1,,1,2022,0.004181185
76,Intellect Design Arena,5,,1,,,,,,,,,,,1,2022,0.005807201
77,Goldman Sachs,24.5,,,,,,,1,,,,,,1,2022,0.028455285
78,Eka Care,6,,,,,,,,1,,,,,1,2022,0.006968641
79,Computa Centre,4.5,,1,,,,,,,,,,,1,2022,0.005226481
80,Centurian ,4.6,,,,,,,,,,,,1,1,2022,0.005342625
81,Capgemini,4,,,,,,,,,,,3,,3,2022,0.013937282
82,Atos Syntel,3.4,,,,,,,,,,,1,,1,2022,0.003948897
83,Accubits,3.38,,,,,,,,,,,1,,1,2022,0.003925668
84,Accenture,4.5,,1,1,,,2,,,,,,1,5,2022,0.026132404
85,JSL,6.5,1,2,,4,,,,,,,,,7,2022,0.052845528
86,Black Box (Talentise global),4.5,,,,,,,1,1,,,,,2,2022,0.010452962
87,IFFCO,6.6,,,,,,,,,,,3,,3,2022,0.022996516
88,EY GLOBAL DELIVERY SERVICES,4.83,,,,,,,,1,,,,,1,2022,0.005609756
