Sl. No,Companies,CTC (LPA),MME,EE ,EEE ,Mech,Civil,CSE,IT,ETC,Prod,ChE,MCA,M.Tech/Mtech (DD)/MSc (DD),Total,Year,AVG
1,Deloitte,7.6,,4,4,,,7,3,12,,,,,30,2021,0.292682927
2,InfyTQ,3.6,,,,,,1,,,,,,,1,2021,0.004621309
3,TATA STEEL,10.52,,,,2,,,1,,,,,,3,2021,0.040513479
4,TATA STEEL BSL,5.2,7,6,,6,,,,,,,,,19,2021,0.126829268
5,TCS CODEVITA,3.36,1,,,,,3,1,,,,,,5,2021,0.02156611
6,Infosys hackwithinfy,5,,,,,,,2,,,,,,2,2021,0.01283697
7,VINOVE,4.5,,,,,,1,,1,,,,,2,2021,0.011553273
8,NEURALHACK,4,,,,,,1,,,,,,,1,2021,0.005134788
9,DXC TECH,3.6,,3,,,,1,1,5,,,,,10,2021,0.046213094
10,INFOSYS,3.6,3,19,10,15,3,9,5,18,12,4,3,12,113,2021,0.522207959
11,HEXAWARE TECH,3.5,,,1,,,1,,1,,,,,3,2021,0.013478819
12,Cognizant,4.5,9,29,22,24,12,21,11,37,13,5,3,10,196,2021,1.132220796
13,Cognizant GenC Next,6.75,,,,,,2,,1,,,,,3,2021,0.025994865
14,Teksystem,8,,,,,,1,,,,,,,1,2021,0.010269576
15,AMAZON INTERNSHIP,15,,,,,,3,,,,,,,3,2021,0.057766367
16,KAAR technology,6.5,,,,,,1,,,,,,,1,2021,0.008344031
17,CISCO,11.3,,,,,,2,,1,,,,,3,2021,0.04351733
18,L&T,6.27,,,2,6,3,3,1,1,,,,,16,2021,0.128780488
19,ICT HEALTH,3,,,,,,1,,1,,,4,,6,2021,0.023106547
20,TCS NINJA,3.36,2,13,10,14,4,7,5,31,11,2,2,2,103,2021,0.444261874
21,TCS DIGITAL,7,,,,,,,,,1,,,,1,2021,0.008985879
22,Cognizant Cyber security,5.4,,,,,,4,4,,,,,,8,2021,0.055455712
23,BYJUS,10,,1,,2,,,,,3,,,,6,2021,0.077021823
24,ACCENTURE,4.5,,5,9,13,2,11,5,5,4,,1,,55,2021,0.317715019
25,RIKTAM TECHNOLOGY,5,,,,,,,,1,,,,,1,2021,0.006418485
26,MINDFIRE SOLUTIONS,3.36,,,,,,2,,,,,,,2,2021,0.008626444
27,VEDANTA,9.45,4,8,,4,,,,,,3,,,19,2021,0.230487805
28,CARIGAR TOOLS,4.25,1,,,,,,,,,,,,1,2021,0.005455712
29,INDIGO PAINTS,3.25,,,,,,,,,,1,,,1,2021,0.004172015
30,ISERVEU,5,,,1,,,4,2,1,,,5,,13,2021,0.083440308
31,GODIGIT,4.5,,2,1,,,,,,,,,,3,2021,0.01732991
32,TATA ELECTRONICS,5.25,,,,2,,,,,,,,,2,2021,0.013478819
33,MARUTI SUZUKI,10.1,,,,1,,,,,,,,,1,2021,0.01296534
34,TECH MAHINDRA INTERN,3.5,,,,1,,,,,,,,,1,2021,0.00449294
35,JKPAPER,4.5,,,,,,,,,,1,,,1,2021,0.005776637
36,MAVENTIC,5,,,,,,,1,,,,,,1,2021,0.006418485
37,MILK MANTRA,6,,,,,,1,,,,,,,1,2021,0.007702182
38,PERFECTVIPS,2,,,,,,,,1,,,,7,8,2021,0.020539153
39,YOUNG TINKER,3.6,,1,,,,,,,,,,,1,2021,0.004621309
40,PWC,6,,,1,,,,1,5,,,,,7,2021,0.053915276
41,MAVENIR,6.5,,,,,,2,1,,,,,,3,2021,0.025032092
